Instances,|D|,nIP_LB,nIP_UB,nIP_gap,nIP_time,nFEAS_LB,nFEAS_UB,nFEAS_gap,nFEAS_time,nMAX_LB,nMAX_UB,nMAX_gap,nMAX_time,IP_LB,IP_UB,IP_gap,IP_time,FEAS_LB,FEAS_UB,FEAS_gap,FEAS_time,MAX_LB,MAX_UB,MAX_gap,MAX_time,tIP_LB,tIP_UB,tIP_gap,tIP_time,tFEAS_LB,tFEAS_UB,tFEAS_gap,tFEAS_time,tMAX_LB,tMAX_UB,tMAX_gap,tMAX_time
drand-10-110-1.txt,10,8.0,8.0,0.0,18.4,8.0,8.0,0.0,9.6,-,-,-,-,8.0,8.0,0.0,13.8,8.0,8.0,0.0,12.9,-,-,-,-,8.0,8.0,0.0,14.0,8.0,8.0,0.0,12.8,-,-,-,-
drand-10-110-2.txt,10,8.0,8.0,0.0,20.2,8.0,8.0,0.0,12.7,-,-,-,-,8.0,8.0,0.0,20.5,8.0,8.0,0.0,12.7,-,-,-,-,8.0,8.0,0.0,21.8,8.0,8.0,0.0,14.4,-,-,-,-
