Instances,|D|,nIP_LB,nIP_UB,nIP_gap,nIP_time,nFEAS_LB,nFEAS_UB,nFEAS_gap,nFEAS_time,IP_LB,IP_UB,IP_gap,IP_time,FEAS_LB,FEAS_UB,FEAS_gap,FEAS_time,tIP_LB,tIP_UB,tIP_gap,tIP_time,tFEAS_LB,tFEAS_UB,tFEAS_gap,tFEAS_time
full-14-30-2.txt,91,14.0,14.0,0.0,0.7,14.0,-,100.0,3600.7,14.0,85.0,83.5,3600.6,14.0,-,100.0,3600.1,14.0,85.0,83.5,3600.6,14.0,-,100.0,3600.2
full-12-15-3.txt,66,12.0,12.0,0.0,0.8,12.0,-,100.0,3600.1,12.0,49.0,75.5,3601.0,12.0,25.0,52.0,3600.0,12.0,49.0,75.5,3602.3,12.0,25.0,52.0,3600.0
full-8-15-1.txt,28,8.0,8.0,0.0,0.1,8.0,8.0,0.0,1.5,8.0,8.0,0.0,2422.4,8.0,8.0,0.0,3165.5,8.0,8.0,0.0,2544.7,8.0,8.0,0.0,3180.9
full-9-30-5.txt,36,9.0,9.0,0.0,0.3,9.0,9.0,0.0,17.4,9.0,15.0,40.0,3600.2,9.0,23.0,60.9,3600.0,9.0,18.0,50.0,3600.0,9.0,23.0,60.9,3600.0
full-12-15-4.txt,66,12.0,12.0,0.0,0.6,12.0,12.0,0.0,152.6,12.0,21.0,42.9,3600.1,12.0,39.0,69.2,3600.0,12.0,21.0,42.9,3600.2,12.0,39.0,69.2,3600.2
full-8-15-2.txt,28,8.0,8.0,0.0,0.1,8.0,8.0,0.0,1.3,8.0,11.0,27.3,3600.1,8.0,12.0,33.3,3600.0,8.0,11.0,27.3,3600.1,8.0,12.0,33.3,3600.0
full-8-15-3.txt,28,8.0,8.0,0.0,0.1,8.0,8.0,0.0,1.1,8.0,8.0,0.0,378.3,8.0,8.0,0.0,620.4,8.0,8.0,0.0,378.0,8.0,8.0,0.0,613.1
full-14-30-3.txt,91,14.0,14.0,0.0,0.7,14.0,-,100.0,3600.6,14.0,84.0,83.3,3600.6,14.0,53.0,73.6,3600.5,14.0,84.0,83.3,3600.6,14.0,53.0,73.6,3600.2
full-10-15-1.txt,45,10.0,10.0,0.0,0.3,10.0,10.0,0.0,592.4,10.0,20.0,50.0,3600.1,10.0,28.0,64.3,3600.0,10.0,21.0,52.4,3600.1,10.0,28.0,64.3,3600.0
full-8-15-4.txt,28,8.0,8.0,0.0,0.1,8.0,8.0,0.0,5.0,8.0,8.0,0.0,170.8,8.0,12.0,33.3,3600.0,8.0,8.0,0.0,174.2,8.0,12.0,33.3,3600.0
full-12-15-5.txt,66,12.0,12.0,0.0,0.5,12.0,12.0,0.0,124.9,12.0,27.0,55.6,3600.2,12.0,39.0,69.2,3600.3,12.0,27.0,55.6,3600.2,12.0,39.0,69.2,3600.2
full-8-15-5.txt,28,8.0,8.0,0.0,0.0,8.0,8.0,0.0,2.0,8.0,13.0,38.5,3600.1,8.0,8.0,0.0,222.8,8.0,12.0,33.3,3600.1,8.0,8.0,0.0,218.0
full-14-30-4.txt,91,14.0,14.0,0.0,1.6,14.0,14.0,0.0,1067.5,14.0,81.0,82.7,3600.5,14.0,33.0,57.6,3600.0,14.0,81.0,82.7,3600.4,14.0,33.0,57.6,3600.1
